Sample_ID,Sample_Name,Reading_Index,pH,pH_Level,TDS_mgL,TDS_Level,EC_uScm,EC_Level,Temp_C,Temp_Level,Turbidity_NTU,Turbidity_Level,Overall_Suitability_Level
28,Water 28 - Canal Water 1 (Diff Loc),5,6.82,2,170.6,3,223.4,3,27.3,3,15.2,3,3
28,Water 28 - Canal Water 1 (Diff Loc),6,7.62,4,176.4,3,244.6,4,29.93,3,27.5,2,4
28,Water 28 - Canal Water 1 (Diff Loc),7,7.75,4,270.9,4,192.3,3,31.03,3,16.1,3,4
28,Water 28 - Canal Water 1 (Diff Loc),8,6.53,2,288.2,4,326.6,4,29.03,3,29.3,2,4
28,Water 28 - Canal Water 1 (Diff Loc),9,7.56,4,212.7,3,199.6,3,25.15,3,23.1,2,4
28,Water 28 - Canal Water 1 (Diff Loc),10,7.7,4,242.7,3,321.4,4,31.44,3,17.2,3,4
29,Water 29 - Canal Water 2 (Diff Loc),1,7.77,4,186.5,3,280.1,4,23.57,2,24.9,2,4
29,Water 29 - Canal Water 2 (Diff Loc),2,6.97,2,200.9,3,236.6,4,22.5,2,27.8,2,4
29,Water 29 - Canal Water 2 (Diff Loc),3,6.67,2,226.5,3,334.0,4,23.05,2,33.2,2,4
29,Water 29 - Canal Water 2 (Diff Loc),4,7.73,4,272.3,4,220.2,3,22.44,2,19.9,3,4
29,Water 29 - Canal Water 2 (Diff Loc),5,7.4,3,264.0,4,291.4,4,22.53,2,34.3,2,4
29,Water 29 - Canal Water 2 (Diff Loc),6,7.24,3,263.2,4,309.2,4,23.35,2,38.1,2,4
29,Water 29 - Canal Water 2 (Diff Loc),7,7.35,3,245.3,3,286.2,4,24.59,2,30.7,2,4
29,Water 29 - Canal Water 2 (Diff Loc),8,6.73,2,160.2,3,255.2,4,22.91,2,21.9,2,4
29,Water 29 - Canal Water 2 (Diff Loc),9,6.58,2,226.1,3,232.8,4,23.36,2,16.4,3,4
29,Water 29 - Canal Water 2 (Diff Loc),10,7.75,4,161.5,3,326.9,4,24.57,2,30.4,2,4
30,Water 30 - Canal Water 3 (Diff Loc),1,7.26,3,219.4,3,274.2,4,34.38,4,37.4,2,4
30,Water 30 - Canal Water 3 (Diff Loc),2,7.17,3,271.5,4,290.8,4,32.96,4,26.9,2,4
30,Water 30 - Canal Water 3 (Diff Loc),3,6.73,2,159.3,3,197.6,3,34.7,4,23.6,2,4
30,Water 30 - Canal Water 3 (Diff Loc),4,7.57,4,225.7,3,209.3,3,32.74,4,25.9,2,4
30,Water 30 - Canal Water 3 (Diff Loc),5,7.16,3,228.4,3,207.0,3,33.12,4,22.1,2,4
30,Water 30 - Canal Water 3 (Diff Loc),6,7.11,3,200.8,3,281.6,4,34.37,4,31.2,2,4
30,Water 30 - Canal Water 3 (Diff Loc),7,6.6,2,164.2,3,295.3,4,32.85,4,33.1,2,4
30,Water 30 - Canal Water 3 (Diff Loc),8,7.48,3,286.0,4,328.5,4,33.0,4,29.6,2,4
30,Water 30 - Canal Water 3 (Diff Loc),9,6.71,2,202.5,3,344.5,4,34.1,4,24.8,2,4
30,Water 30 - Canal Water 3 (Diff Loc),10,7.39,3,290.7,4,232.6,4,33.13,4,34.8,2,4
31,Water 31 - Canal Water 4 (Diff Loc),1,7.72,4,250.5,4,320.9,4,30.17,3,32.1,2,4
31,Water 31 - Canal Water 4 (Diff Loc),2,7.29,3,246.9,3,252.0,4,27.53,3,24.1,2,4
31,Water 31 - Canal Water 4 (Diff Loc),3,6.77,2,182.1,3,341.1,4,28.4,3,20.7,3,4
31,Water 31 - Canal Water 4 (Diff Loc),4,6.71,2,161.6,3,323.6,4,25.71,3,34.3,2,4
31,Water 31 - Canal Water 4 (Diff Loc),5,7.75,4,282.6,4,186.4,3,27.36,3,34.2,2,4
31,Water 31 - Canal Water 4 (Diff Loc),6,6.7,2,206.5,3,207.6,3,30.82,3,34.3,2,3
31,Water 31 - Canal Water 4 (Diff Loc),7,7.71,4,174.8,3,254.4,4,27.88,3,31.9,2,4
31,Water 31 - Canal Water 4 (Diff Loc),8,6.86,2,216.6,3,228.4,3,30.24,3,26.2,2,3
31,Water 31 - Canal Water 4 (Diff Loc),9,7.3,3,196.4,3,317.5,4,28.28,3,35.9,2,4
31,Water 31 - Canal Water 4 (Diff Loc),10,7.05,3,292.1,4,347.4,4,28.23,3,22.0,2,4
32,Water 32 - Canal Water 5 (Diff Loc),1,7.07,3,229.1,3,344.3,4,20.45,1,35.0,2,4
32,Water 32 - Canal Water 5 (Diff Loc),2,6.71,2,187.5,3,289.0,4,20.62,1,28.9,2,4
32,Water 32 - Canal Water 5 (Diff Loc),3,6.65,2,276.9,4,324.7,4,18.86,1,34.1,2,4
32,Water 32 - Canal Water 5 (Diff Loc),4,6.91,2,285.8,4,205.0,3,19.31,1,38.7,2,4
32,Water 32 - Canal Water 5 (Diff Loc),5,6.83,2,217.7,3,239.4,4,18.08,1,16.3,3,4
32,Water 32 - Canal Water 5 (Diff Loc),6,7.25,3,185.4,3,349.1,4,19.12,1,15.7,3,4
32,Water 32 - Canal Water 5 (Diff Loc),7,7.9,4,275.9,4,290.5,4,20.37,1,18.4,3,4
32,Water 32 - Canal Water 5 (Diff Loc),8,6.93,2,274.5,4,298.3,4,18.42,1,32.6,2,4
32,Water 32 - Canal Water 5 (Diff Loc),9,7.17,3,150.8,3,193.5,3,18.77,1,35.9,2,3
32,Water 32 - Canal Water 5 (Diff Loc),10,7.32,3,259.1,4,269.7,4,18.33,1,22.2,2,4
